Date	1-1	1-2	1-3	2-1	2-2	2-3	3-1	3-2	3-3	4-1	4-2	4-3	5-1	5-2	5-3	6-1	6-2	6-3	7-1	7-2	7-3	8-1	8-2	8-3	9-1	9-2	9-3	10-1	10-2	10-3	11-1	11-2	11-3	12-1	12-2	12-3	13-1	13-2	13-3	14-1	14-2	14-3	15-1	15-2	15-3	16-1	16-2	16-3	17-1	17-2	17-3	18-1	18-2	18-3	19-1	19-2	19-3	20-1	20-2	20-3	21-1	21-2	21-3	22-1	22-2	22-3	23-1	23-2	23-3	24-1	24-2	24-3	25-1	25-2	25-3	26-1	26-2	26-3	27-1	27-2	27-3	28-1	28-2	28-3	29-1	29-2	29-3	30-1	30-2	30-3	31-1	31-2	31-3	32-1	32-2	32-3	33-1	33-2	33-3	34-1	34-2	34-3	35-1	35-2	35-3	36-1	36-2	36-3	37-1	37-2	37-3	38-1	38-2	38-3	39-1	39-2	39-3	40-1	40-2	40-3	41-1	41-2	41-3	42-1	42-2	42-3	43-1	43-2	43-3	44-1	44-2	44-3	45-1	45-2	45-3	46-1	46-2	46-3	47-1	47-2	47-3	48-1	48-2	48-3	49-1	49-2	49-3	50-1	50-2	50-3	51-1	51-2	51-3	52-1	52-2	52-3	53-1	53-2	53-3	54-1	54-2	54-3	55-1	55-2	55-3	56-1	56-2	56-3	57-1	57-2	57-3	58-1	58-2	58-3	59-1	59-2	59-3	60-1	60-2	60-3	61-1	61-2	61-3	62-1	62-2	62-3	63-1	63-2	63-3	64-1	64-2	64-3	65-1	65-2	65-3	66-1	66-2	66-3	67-1	67-2	67-3	68-1	68-2	68-3	69-1	69-2	69-3	70-1	70-2	70-3	71-1	71-2	71-3	72-1	72-2	72-3	73-1	73-2	73-3	74-1	74-2	74-3	75-1	75-2	75-3	76-1	76-2	76-3	77-1	77-2	77-3	78-1	78-2	78-3	79-1	79-2	79-3	80-1	80-2	80-3	81-1	81-2	81-3	82-1	82-2	82-3	83-1	83-2	83-3	84-1	84-2	84-3	85-1	85-2	85-3	86-1	86-2	86-3	87-1	87-2	87-3	88-1	88-2	88-3	89-1	89-2	89-3	90-1	90-2	90-3	91-1	91-2	91-3	92-1	92-2	92-3	93-1	93-2	93-3	94-1	94-2	94-3	95-1	95-2	95-3	96-1	96-2	96-3	97-1	97-2	97-3	98-1	98-2	98-3	99-1	99-2	99-3	100-1	100-2	100-3	101-1	101-2	101-3	102-1	102-2	102-3	103-1	103-2	103-3	104-1	104-2	104-3	105-1	105-2	105-3	106-1	106-2	106-3	107-1	107-2	107-3	108-1	108-2	108-3	109-1	109-2	109-3	110-1	110-2	110-3	111-1	111-2	111-3	112-1	112-2	112-3	113-1	113-2	113-3	114-1	114-2	114-3	115-1	115-2	115-3	116-1	116-2	116-3	117-1	117-2	117-3	118-1	118-2	118-3	119-1	119-2	119-3	120-1	120-2	120-3	121-1	121-2	121-3	122-1	122-2	122-3	123-1	123-2	123-3	124-1	124-2	124-3	125-1	125-2	125-3	126-1	126-2	126-3	127-1	127-2	127-3	128-1	128-2	128-3	129-1	129-2	129-3	130-1	130-2	130-3	131-1	131-2	131-3	132-1	132-2	132-3	133-1	133-2	133-3	134-1	134-2	134-3	135-1	135-2	135-3	136-1	136-2	136-3	137-1	137-2	137-3	138-1	138-2	138-3	139-1	139-2	139-3	140-1	140-2	140-3	141-1	141-2	141-3	142-1	142-2	142-3	143-1	143-2	143-3	144-1	144-2	144-3	145-1	145-2	145-3	146-1	146-2	146-3	147-1	147-2	147-3	148-1	148-2	148-3	149-1	149-2	149-3	150-1	150-2	150-3
24.04.2018 03:00	5	-11	140	5	-9	-4	6	-13	71	6	-9	39	5	-8	-3	5	-14	-9	4	-11	-7	5	-12	-7	4	-9	-5	4	-10	-6	2	-9	-7	2	-12	-10	-33	-4	173	89	-5	84	40	-4	36	74	0	74	5	-8	48	7	-12	-5	16	-9	7	13	-8	5	9	-8	1	8	-7	119	-33	0	-33	0	-14	-14	-29	-14	-43	-22	-9	-31	-9	-11	194	-20	-22	-42	26	-11	15	5	-9	-4	-17	0	-17	-2	-1	-3	-23	-1	-24	-17	0	-17	-21	-6	-27	-51	8	124	-58	11	-47	-77	7	-70	-55	14	-41	-56	11	-45	-49	7	-42	-65	4	-61	0	-14	-14	0	-10	-10	9	-12	-3	-7	-13	-20	-6	-11	-17	4	-12	-8	9	-10	-1	3	-5	-2	5	-4	1	4	1	5	2	0	2	111	1	112	-30	-10	-40	-8	-5	-13	-38	-5	-43	86	-3	83	71	-2	69	421	-2	419	-54	3	-51	304	-5	299	-46	-3	-49	125	-4	121	120	-3	117	191	0	191	126	-11	115	101	-5	96	160	-11	149	5	-5	0	4	-5	-1	4	-5	-1	3	-11	-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-10	-6	-16	-11	-6	-17	-35	-6	-41	75	-9	151	-17	-7	-24	3	-6	133	8	-6	2	7	-8	-1	7	-5	2	-3	-6	-9	66	-9	193	42	-7	35	-9	-8	-17	8	-4	4	4	-6	-2	18	-5	13	43	-6	37	50	-5	45	16	-6	10	-57	-8	-65	-49	-9	-58	-3	-8	-11	-4	-8	-12	7	-12	-5	49	-16	33	32	-6	26	40	-7	33	16	-5	11	21	-6	15	-5	-8	-13	39	-9	30	13	-8	5	6	-9	-3	-32	-5	-37	-62	-6	-68	-38	-5	-43	46	-14	32	19	-6	13	70	-6	64	32	-7	25	69	-7	62	0	0	0	0	0	0	0	0	0	0	0	0	104	4	556	38	-4	34	65	-5	60	117	-5	112	94	-9	85	3	-6	454	-15	-4	-19	-28	-2	-30	87	-1	86	51	-3	48	62	4	66	0	0	0	0	0	0	0	0	0	0	1024	1024	0	1019	1019	0	1019	1019	0	1019	1019	0	1019	1019	0	1019	1019	0	1019	1019	0	1019	1019	0	1019	1019	0	1014	1014	0	1014	1014	0	1014	1014
24.04.2018 04:00	5	-10	141	5	-8	-3	5	-13	70	5	-8	39	4	-8	-4	5	-13	-8	4	-10	-6	5	-11	-6	5	-8	-3	4	-9	-5	4	-9	-5	4	-12	-8	-47	-5	158	9	-5	4	-76	-3	-79	18	3	21	8	-9	50	10	-12	-2	3	-5	-2	1	-5	-4	-3	-6	-9	-5	-7	106	-53	1	-52	-12	-14	-26	-42	-13	-55	-35	-9	-44	-22	-11	181	-34	-21	-55	15	-11	4	8	-9	-1	-22	-2	-24	-23	-2	-25	-38	1	-37	-37	1	-36	-46	-5	-51	-65	8	110	-69	10	-59	-93	9	-84	-69	14	-55	-66	11	-55	-62	7	-55	-76	5	-71	2	-14	-12	-14	-10	-24	-6	-12	-18	-23	-13	-36	-20	-10	-30	4	-11	-7	-1	-9	-10	3	-5	-2	4	-2	2	4	2	6	-11	0	-11	53	2	55	-41	-10	-51	-20	-4	-24	-48	-5	-53	67	-3	64	6	-1	5	462	-3	459	-81	3	-78	177	-5	172	-63	-3	-66	118	-5	113	69	-2	67	64	2	66	62	-9	53	32	-5	27	50	-11	39	5	-6	-1	4	-7	-3	4	-7	-3	3	-11	-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5	-5	-2	-5	-7	-1	-8	-9	73	-9	149	14	-9	5	16	-5	147	-5	-6	-11	-6	-8	-14	-5	-4	-9	-16	-5	-21	71	-9	198	50	-8	42	-3	-10	-13	-5	-3	-8	-3	-7	-10	18	-4	14	38	-5	33	42	-5	37	8	-6	2	-51	-8	-59	-50	-8	-58	-3	-8	-11	-1	-8	-9	10	-11	-1	22	-16	6	30	-5	25	31	-7	24	11	-7	4	19	-6	13	15	-7	8	34	-8	26	5	-7	-2	11	-9	2	-2	-6	-8	-33	-6	-39	-2	-9	-11	48	-13	35	12	-8	4	62	-3	59	26	-7	19	64	-6	58	0	0	0	0	0	0	0	0	0	0	0	0	111	2	561	59	-5	54	67	-5	62	120	-7	113	84	-10	74	30	-6	481	0	-4	-4	5	-4	1	102	-3	99	78	-4	74	85	1	86	0	0	0	0	0	0	0	0	0	0	1024	1024	0	1018	1018	0	1019	1019	0	1019	1019	0	1019	1019	0	1019	1019	0	1019	1019	0	1019	1019	0	1019	1019	0	1014	1014	0	1013	1013	0	1013	1013
24.04.2018 05:00	4	-10	140	3	-8	-5	4	-12	70	4	-9	37	3	-8	-5	4	-13	-9	4	-9	-5	5	-10	-5	5	-8	-3	4	-8	-4	5	-8	-3	6	-11	-5	-43	-5	162	-71	-4	-75	-171	-2	-173	-27	4	-23	10	-8	53	13	-12	1	-9	-5	-14	-11	-7	-18	-14	-8	-22	-17	-6	95	-68	1	-67	-23	-14	-37	-51	-13	-64	-44	-9	-53	-33	-11	170	-44	-21	-65	2	-9	-7	10	-9	1	-35	-4	-39	-50	-1	-51	-61	0	-61	-59	1	-58	-68	-6	-74	-71	8	104	-71	11	-60	-95	10	-85	-73	13	-60	-68	11	-57	-67	7	-60	-74	5	-69	1	-12	-11	-27	-10	-37	-19	-11	-30	-38	-13	-51	-33	-8	-41	4	-9	-5	-12	-8	-20	4	-4	0	3	-2	1	4	3	7	-25	0	-25	1	3	4	-46	-9	-55	-30	-3	-33	-52	-5	-57	36	-2	34	-47	0	-47	443	-3	440	-102	3	-99	27	-5	22	-74	-3	-77	92	-4	88	15	-1	14	-57	4	-53	-6	-8	-14	-38	-3	-41	-62	-10	-72	3	-7	-4	3	-7	-4	3	-6	-3	3	-10	-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	-6	5	8	-6	2	32	-9	23	59	-9	135	43	-8	35	25	-6	155	-16	-5	-21	-18	-8	-26	-17	0	-17	-24	-4	-28	68	-7	197	50	-7	43	4	-9	-5	-17	-4	-21	-10	-6	-16	18	-5	13	29	-6	23	31	-4	27	-2	-6	-8	-29	-8	-37	-37	-9	-46	-2	-8	-10	2	-8	-6	13	-12	1	-3	-15	-18	24	-7	17	20	-7	13	5	-4	1	14	-5	9	33	-8	25	27	-9	18	-5	-8	-13	15	-11	4	27	-9	18	4	-9	-5	33	-11	22	44	-12	32	5	-6	-1	48	-6	42	18	-7	11	51	-6	45	0	0	0	0	0	0	0	0	0	0	0	0	95	0	543	69	-5	64	55	-5	50	97	-8	89	57	-9	48	51	-6	502	17	-3	14	48	-2	46	97	-3	94	91	-5	86	93	2	95	0	0	0	0	0	0	0	0	0	0	1024	1024	0	1017	1017	0	1019	1019	0	1019	1019	0	1019	1019	0	1019	1019	0	1019	1019	0	1019	1019	0	1019	1019	0	1013	1013	0	1013	1013	0	1013	1013
24.04.2018 06:00	3	-9	140	2	-7	-5	3	-11	70	3	-7	38	2	-7	-5	4	-12	-8	3	-9	-6	4	-10	-6	4	-8	-4	4	-8	-4	6	-7	-1	7	-9	-2	-24	-4	182	-126	-3	-129	-228	-1	-229	-61	4	-57	10	-7	54	13	-10	3	-20	-8	-28	-21	-8	-29	-24	-7	-31	-27	-5	86	-75	0	-75	-32	-13	-45	-54	-13	-67	-49	-7	-56	-40	-10	164	-50	-21	-71	-11	-9	-20	11	-7	4	-59	-2	-61	-80	-1	-81	-87	0	-87	-78	0	-78	-84	-6	-90	-68	8	107	-63	11	-52	-81	9	-72	-67	13	-54	-60	11	-49	-64	6	-58	-62	6	-56	1	-12	-11	-37	-9	-46	-30	-10	-40	-47	-12	-59	-43	-9	-52	4	-10	-6	-21	-7	-28	5	-4	1	3	-1	2	4	4	8	-37	1	-36	-40	4	-36	-47	-9	-56	-37	-2	-39	-50	-5	-55	-3	-1	-4	-86	1	-85	365	-3	362	-119	2	-117	-102	-5	-107	-75	-3	-78	50	-2	48	-35	0	-35	-149	6	-143	-61	-7	-68	-93	-2	-95	-156	-8	-164	2	-6	-4	2	-7	-5	2	-6	-4	3	-11	-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	-6	14	18	-6	12	60	-9	51	38	-9	114	63	-8	55	31	-7	160	-25	-5	-30	-27	-8	-35	-26	-5	-31	-28	-5	-33	56	-10	182	43	-9	34	11	-8	3	-27	-3	-30	-14	-7	-21	16	-5	11	17	-5	12	17	-8	9	-13	-6	-19	0	-11	-11	-13	-11	-24	0	-8	-8	5	-8	-3	14	-12	2	-22	-15	-37	17	-6	11	6	-7	-1	0	-7	-7	5	-6	-1	44	-9	35	16	-8	8	-17	-8	-25	16	-9	7	51	-9	42	39	-12	27	63	-11	52	36	-14	22	-1	-7	-8	30	-4	26	8	-8	0	33	-7	26	0	0	0	0	0	0	0	0	0	0	0	0	58	1	507	63	-5	58	28	-5	23	50	-7	43	18	-9	9	65	-7	515	31	-2	29	79	-3	76	68	-2	66	83	-3	80	81	2	83	0	0	0	0	0	0	0	0	0	0	1023	1023	0	1017	1017	0	1019	1019	0	1019	1019	0	1019	1019	0	1018	1018	0	1019	1019	0	1019	1019	0	1019	1019	0	1013	1013	0	1013	1013	0	1013	1013
24.04.2018 07:00	1	-9	138	1	-6	-5	2	-11	69	2	-8	36	1	-7	-6	3	-12	-9	2	-9	-7	3	-10	-7	3	-8	-5	5	-8	-3	7	-7	0	8	-9	-1	-3	-3	204	-138	-3	-141	-222	1	-221	-87	3	-84	10	-6	55	13	-10	3	-29	-6	-35	-28	-6	-34	-30	-7	-37	-33	-4	81	-72	0	-72	-37	-13	-50	-51	-13	-64	-48	-8	-56	-43	-9	162	-49	-21	-70	-23	-8	-31	10	-7	3	-89	0	-89	-105	0	-105	-110	-1	-111	-90	0	-90	-90	-5	-95	-56	8	119	-46	10	-36	-57	8	-49	-51	13	-38	-45	11	-34	-53	7	-46	-42	7	-35	4	-12	-8	-42	-9	-51	-36	-10	-46	-51	-12	-63	-48	-8	-56	4	-9	-5	-27	-8	-35	6	-4	2	2	1	3	5	4	9	-45	2	-43	-72	4	-68	-41	-8	-49	-39	-2	-41	-43	-4	-47	-45	1	-44	-114	1	-113	247	-3	244	-135	2	-133	-186	-4	-190	-68	-3	-71	-5	-1	-6	-76	1	-75	-195	8	-187	-94	-7	-101	-119	-2	-121	-205	-7	-212	1	-7	-6	2	-6	-4	2	-5	-3	3	-10	-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	-5	20	25	-5	20	75	-8	67	15	-9	91	71	-10	61	30	-5	161	-30	-4	-34	-33	-8	-41	-32	-4	-36	-29	-6	-35	37	-8	165	31	-8	23	16	-8	8	-32	-3	-35	-17	-7	-24	12	-5	7	3	-7	-4	0	-5	-5	-25	-7	-32	26	-11	15	12	-11	1	2	-8	-6	7	-8	-1	13	-12	1	-33	-15	-48	7	-7	0	-9	-7	-16	-6	-6	-12	-7	-7	-14	46	-8	38	3	-9	-6	-32	-8	-40	15	-7	8	67	-7	60	66	-11	55	83	-9	74	23	-13	10	-6	-8	-14	9	-7	2	-5	-8	-13	12	-7	5	0	0	0	0	0	0	0	0	0	0	0	0	6	3	457	41	-4	37	-9	-5	-14	-10	-6	-16	-27	-7	-34	63	-5	515	38	-4	34	87	-1	86	23	-2	21	53	-3	50	45	2	47	0	0	0	0	0	0	0	0	0	0	1023	1023	0	1016	1016	0	1018	1018	0	1018	1018	0	1018	1018	0	1018	1018	0	1018	1018	0	1018	1018	0	1018	1018	0	1012	1012	0	1012	1012	0	1012	1012
24.04.2018 08:00	1	-9	138	1	-7	-6	2	-11	69	2	-8	36	1	-7	-6	3	-12	-9	2	-8	-6	3	-10	-7	3	-8	-5	5	-8	-3	7	-7	0	8	-9	-1	13	-4	219	-113	-2	-115	-150	0	-150	-109	3	-106	7	-7	51	10	-10	0	-33	-4	-37	-32	-4	-36	-32	-5	-37	-35	-6	77	-62	0	-62	-38	-13	-51	-42	-13	-55	-41	-8	-49	-39	-10	165	-44	-21	-65	-32	-8	-40	7	-7	0	-119	1	-118	-123	1	-122	-122	0	-122	-91	0	-91	-84	-6	-90	-37	8	138	-25	10	-15	-25	8	-17	-30	14	-16	-25	11	-14	-35	6	-29	-17	7	-10	7	-12	-5	-42	-9	-51	-38	-10	-48	-48	-11	-59	-47	-8	-55	3	-10	-7	-29	-6	-35	7	-2	5	3	2	5	5	5	10	-45	2	-43	-99	5	-94	-32	-8	-40	-37	-1	-38	-30	-4	-34	-85	2	-83	-134	1	-133	120	-2	118	-152	4	-148	-224	-2	-226	-52	-3	-55	-63	-1	-64	-109	2	-107	-206	9	-197	-105	-7	-112	-109	-3	-112	-196	-6	-202	1	-7	-6	2	-7	-5	3	-6	-3	3	-10	-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	-6	20	26	-7	19	74	-9	65	-4	-9	72	62	-8	54	25	-4	157	-31	-6	-37	-33	-9	-42	-33	-4	-37	-28	-3	-31	17	-10	143	17	-8	9	19	-8	11	-34	-5	-39	-19	-8	-27	6	-4	2	-11	-6	-17	-18	-9	-27	-37	-8	-45	47	-8	39	33	-9	24	5	-9	-4	8	-8	0	10	-11	-1	-38	-16	-54	-4	-5	-9	-25	-7	-32	-10	-6	-16	-20	-6	-26	39	-5	34	-11	-8	-19	-46	-9	-55	11	-9	2	65	-7	58	80	-7	73	82	-7	75	8	-12	-4	-11	-7	-18	-12	-5	-17	-19	-8	-27	-8	-6	-14	0	0	0	0	0	0	0	0	0	0	0	0	-52	4	400	6	-4	2	-50	-4	-54	-71	-4	-75	-72	-6	-78	41	-4	494	31	-5	26	70	-2	68	-31	-2	-33	11	-5	6	-3	3	0	0	0	0	0	0	0	0	0	0	0	1022	1022	0	1016	1016	0	1018	1018	0	1018	1018	0	1018	1018	0	1017	1017	0	1018	1018	0	1018	1018	0	1018	1018	0	1012	1012	0	1012	1012	0	1012	1012
24.04.2018 09:00	2	-8	140	2	-6	-4	2	-11	69	3	-7	38	3	-7	-4	4	-12	-8	3	-8	-5	4	-9	-5	4	-7	-3	6	-8	-2	7	-7	0	7	-10	-3	20	-5	225	-69	-1	-70	-44	-2	-46	-131	3	-128	4	-7	48	7	-10	-3	-34	-3	-37	-32	-5	-37	-31	-6	-37	-32	-6	80	-46	1	-45	-35	-13	-48	-28	-12	-40	-27	-8	-35	-30	-9	175	-34	-21	-55	-37	-8	-45	4	-8	-4	-142	1	-141	-130	0	-130	-122	0	-122	-80	0	-80	-68	-5	-73	-15	7	159	-4	9	5	7	8	15	-6	14	8	-4	10	6	-15	6	-9	8	7	15	10	-12	-2	-37	-8	-45	-35	-10	-45	-40	-11	-51	-40	-7	-47	3	-8	-5	-28	-6	-34	8	-1	7	4	3	7	6	5	11	-39	3	-36	-125	5	-120	-20	-7	-27	-31	0	-31	-15	-4	-19	-117	2	-115	-150	1	-149	8	-1	7	-173	6	-167	-220	-1	-221	-30	-3	-33	-114	2	-112	-135	3	-132	-202	10	-192	-92	-7	-99	-74	-2	-76	-142	-5	-147	2	-7	-5	4	-7	-3	4	-7	-3	5	-9	-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	-5	17	23	-5	18	56	-6	50	-16	-10	59	39	-4	35	14	-4	146	-28	-5	-33	-30	-8	-38	-30	-4	-34	-24	-6	-30	-2	-9	125	3	-9	-6	19	-9	10	-31	-3	-34	-18	-8	-26	-1	-4	-5	-26	-6	-32	-36	-6	-42	-47	-6	-53	60	-8	52	48	-8	40	9	-8	1	8	-8	0	7	-12	-5	-42	-15	-57	-16	-5	-21	-40	-6	-46	-14	-7	-21	-32	-6	-38	23	-4	19	-25	-8	-33	-56	-8	-64	5	-11	-6	47	-6	41	78	-7	71	60	-10	50	-7	-13	-20	-16	-8	-24	-33	-7	-40	-33	-7	-40	-26	-8	-34	0	0	0	0	0	0	0	0	0	0	0	0	-104	5	349	-35	-4	-39	-86	-3	-89	-122	-4	-126	-108	-6	-114	5	-6	456	8	-4	4	36	-1	35	-82	0	-82	-35	-3	-38	-52	3	-49	0	0	0	0	0	0	0	0	0	0	1022	1022	0	1015	1015	0	1018	1018	0	1018	1018	0	1018	1018	0	1017	1017	0	1017	1017	0	1017	1017	0	1017	1017	0	1011	1011	0	1012	1012	0	1012	1012
24.04.2018 10:00	3	-8	141	5	-6	-1	4	-11	71	4	-7	39	5	-7	-2	5	-11	-6	5	-7	-2	5	-9	-4	4	-7	-3	7	-8	-1	6	-7	-1	5	-9	-4	16	-5	221	-17	0	-17	53	-2	51	-152	3	-149	1	-7	45	4	-10	-6	-31	-5	-36	-28	-7	-35	-27	-7	-34	-26	-6	86	-27	0	-27	-29	-13	-42	-10	-13	-23	-11	-7	-18	-18	-9	187	-21	-22	-43	-37	-8	-45	1	-8	-7	-151	1	-150	-121	0	-121	-105	-1	-106	-59	0	-59	-43	-6	-49	6	7	180	16	9	25	35	8	43	16	14	30	15	10	25	5	6	11	28	7	35	9	-12	-3	-30	-9	-39	-29	-10	-39	-28	-11	-39	-28	-7	-35	4	-7	-3	-23	-6	-29	9	-1	8	6	3	9	8	5	13	-29	3	-26	-147	5	-142	-7	-7	-14	-21	0	-21	-1	-4	-5	-136	2	-134	-165	2	-163	-77	1	-76	-190	7	-183	-174	1	-173	-6	-3	-9	-150	1	-149	-154	3	-151	-196	9	-187	-58	-7	-65	-31	-2	-33	-66	-5	-71	4	-6	-2	5	-7	-2	6	-8	-2	6	-9	-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	-5	9	15	-5	10	26	-2	24	-22	-10	53	10	-2	8	1	-4	133	-23	-6	-29	-23	-9	-32	-23	-5	-28	-17	-5	-22	-16	-10	110	-8	-9	-17	15	-8	7	-25	-4	-29	-16	-8	-24	-9	-5	-14	-39	-7	-46	-51	-7	-58	-54	-6	-60	61	-9	52	55	-9	46	13	-8	5	8	-9	-1	3	-12	-9	-43	-14	-57	-27	-6	-33	-53	-6	-59	-17	-7	-24	-41	-5	-46	4	-4	0	-38	-7	-45	-62	-7	-69	-1	-10	-11	21	-2	19	56	-8	48	27	-1	26	-20	-14	-34	-20	-7	-27	-50	-5	-55	-45	-7	-52	-37	-7	-44	0	0	0	0	0	0	0	0	0	0	0	0	-141	7	314	-75	-2	-77	-111	-2	-113	-156	-2	-158	-129	-6	-135	-34	-4	419	-25	-4	-29	-8	-1	-9	-121	2	-119	-79	-2	-81	-93	7	-86	0	0	0	0	0	0	0	0	0	0	1022	1022	0	1015	1015	0	1018	1018	0	1018	1018	0	1018	1018	0	1017	1017	0	1018	1018	0	1018	1018	0	1018	1018	0	1010	1010	0	1012	1012	0	1012	1012
24.04.2018 11:00	5	-8	143	7	-7	0	7	-11	74	6	-7	41	7	-7	0	6	-11	-5	6	-8	-2	7	-9	-2	5	-7	-2	7	-8	-1	5	-7	-2	4	-9	-5	-1	-3	206	32	0	32	118	-2	116	-173	5	-168	-1	-6	44	1	-9	-8	-25	-8	-33	-22	-8	-30	-21	-8	-29	-19	-6	93	-7	0	-7	-21	-13	-34	8	-13	-5	6	-7	-1	-5	-9	200	-7	-23	-30	-33	-7	-40	-1	-7	-8	-140	0	-140	-94	2	-92	-70	0	-70	-29	-1	-30	-14	-6	-20	23	6	196	29	9	38	52	7	59	31	15	46	29	9	38	21	5	26	38	6	44	7	-10	-3	-20	-8	-28	-22	-10	-32	-14	-10	-24	-12	-7	-19	4	-9	-5	-14	-6	-20	10	1	11	7	3	10	8	6	14	-16	3	-13	-163	6	-157	4	-7	-3	-10	0	-10	12	-4	8	-139	3	-136	-180	4	-176	-135	2	-133	-197	7	-190	-87	1	-86	17	-4	13	-165	1	-164	-165	3	-162	-193	7	-186	-15	-7	-22	9	-2	7	16	-5	11	6	-6	0	7	-7	0	8	-7	1	7	-9	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	-5	-1	5	-5	0	-8	1	-7	-25	-9	51	-19	-1	-20	-12	-3	121	-16	-6	-22	-15	-9	-24	-16	-4	-20	-10	-4	-14	-26	-10	100	-15	-8	-23	9	-7	2	-17	-5	-22	-14	-7	-21	-16	-2	-18	-49	-3	-52	-62	-5	-67	-58	-7	-65	46	-7	39	49	-8	41	16	-8	8	8	-8	0	0	-12	-12	-40	-15	-55	-36	-3	-39	-62	-5	-67	-20	-6	-26	-44	-6	-50	-16	-4	-20	-47	-7	-54	-61	-8	-69	-6	-10	-16	-9	3	-6	25	-1	24	-9	1	-8	-29	-13	-42	-23	-7	-30	-62	-4	-66	-53	-8	-61	-43	-7	-50	0	0	0	0	0	0	0	0	0	0	0	0	-155	7	300	-105	-1	-106	-119	-2	-121	-165	-2	-167	-132	-5	-137	-70	-3	384	-58	-4	-62	-51	-1	-52	-141	2	-139	-114	-1	-115	-124	5	-119	0	0	0	0	0	0	0	0	0	0	1022	1022	0	1014	1014	0	1018	1018	0	1018	1018	0	1018	1018	0	1016	1016	0	1017	1017	0	1017	1017	0	1017	1017	0	1010	1010	0	1012	1012	0	1012	1012
24.04.2018 12:00	7	-9	144	9	-7	2	9	-11	76	8	-7	43	9	-7	2	7	-11	-4	7	-7	0	8	-8	0	6	-6	0	8	-6	2	4	-6	-2	2	-9	-7	-29	-3	178	64	0	64	145	-2	143	-191	7	-184	-3	-6	42	0	-9	-9	-18	-6	-24	-15	-7	-22	-14	-5	-19	-11	-6	101	14	-1	13	-11	-13	-24	23	-13	10	20	-7	13	7	-9	212	4	-23	-19	-28	-6	-34	-3	-7	-10	-106	1	-105	-50	-2	-52	-25	-1	-26	5	-1	4	15	-6	9	34	5	206	35	8	43	57	7	64	38	15	53	36	9	45	31	5	36	38	6	44	4	-11	-7	-11	-8	-19	-15	-9	-24	0	-11	-11	3	-7	-4	5	-7	-2	-4	-5	-9	9	2	11	8	3	11	8	6	14	-2	5	3	-174	8	-166	12	-7	5	0	1	1	20	-3	17	-127	3	-124	-195	3	-192	-173	3	-170	-190	7	-183	29	2	31	35	-5	30	-157	2	-155	-170	4	-166	-196	6	-190	17	-7	10	38	-3	35	89	-5	84	8	-6	2	9	-7	2	9	-8	1	8	-9	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-6	-3	-9	-5	-3	-8	-39	1	-38	-28	-9	48	-44	0	-44	-21	-1	114	-10	-6	-16	-7	-8	-15	-8	-4	-12	-5	-6	-11	-32	-10	94	-16	-7	-23	2	-7	-5	-9	-4	-13	-11	-8	-19	-22	-5	-27	-53	-8	-61	-67	-6	-73	-55	-6	-61	21	-4	17	32	-5	27	17	-8	9	7	-8	-1	-2	-10	-12	-35	-15	-50	-42	-6	-48	-66	-6	-72	-21	-7	-28	-40	-4	-44	-32	-1	-33	-52	-8	-60	-53	-7	-60	-8	-8	-16	-39	2	-37	-8	3	-5	-45	2	-43	-34	-14	-48	-26	-8	-34	-69	-7	-76	-57	-7	-64	-45	-8	-53	0	0	0	0	0	0	0	0	0	0	0	0	-143	6	311	-118	0	-118	-109	-1	-110	-149	-3	-152	-116	-5	-121	-99	0	358	-85	-3	-88	-85	1	-84	-140	2	-138	-130	1	-129	-135	7	-128	0	0	0	0	0	0	0	0	0	0	1022	1022	0	1013	1013	0	1018	1018	0	1018	1018	0	1018	1018	0	1016	1016	0	1017	1017	0	1017	1017	0	1017	1017	0	1010	1010	0	1012	1012	0	1012	1012
